City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cairns,-16.92,145.77,88.0,58,0,10.29,AU,1603246224
Aberdeen,57.14,-2.1,52.0,93,85,2.24,GB,1603246137
Bereda,43.27,-7.54,55.99,100,100,11.99,ES,1603246234
Venice,27.1,-82.45,78.01,88,20,8.05,US,1603246234
Leiyang,26.4,112.86,60.84,73,70,7.23,CN,1603246234
Ust-Nera,64.57,143.2,12.15,86,46,1.92,RU,1603246234
Kuusamo,65.97,29.18,26.6,92,90,2.24,FI,1603246234
Mossamedes,-15.2,12.15,67.87,84,100,6.96,AO,1603246197
Qaqortoq,60.72,-46.03,30.2,86,100,2.24,GL,1603246235
Sokone,13.88,-16.37,80.28,87,91,7.34,SN,1603246235
Hay River,60.82,-115.8,24.8,73,75,11.41,CA,1603246235
Baracoa,20.35,-74.5,78.66,83,99,5.23,CU,1603246235
La Rioja,42.25,-2.5,68.0,52,100,10.29,ES,1603246236
Fort Nelson,58.81,-122.7,17.6,72,75,3.36,CA,1603246236
Saryg-Sep,51.5,95.6,30.63,92,60,1.19,RU,1603246236
Lavumisa,-27.31,31.89,62.82,80,50,4.99,SZ,1603246236
Tigil',57.8,158.67,39.83,72,6,8.14,RU,1603246236
Belmonte,-15.86,-38.88,73.4,88,75,2.24,BR,1603246237
Thinadhoo,0.53,72.93,81.81,81,100,12.77,MV,1603246019
Niamey,13.51,2.11,84.2,45,0,5.82,NE,1603246237
Rio Claro,-22.41,-47.56,68.7,86,87,6.33,BR,1603246237
Portales,34.19,-103.33,69.8,18,1,5.82,US,1603246238
Champerico,14.3,-91.92,66.0,99,100,9.22,GT,1603246238
Koumac,-20.57,164.28,78.57,59,1,9.01,NC,1603246238
Taman',45.21,36.72,46.4,75,40,2.24,RU,1603246238
Atar,20.52,-13.05,84.99,26,0,5.3,MR,1603246238
Ondjiva,-17.07,15.73,66.34,27,0,5.08,AO,1603246238
Chumikan,54.72,135.31,38.97,72,100,4.79,RU,1603246239
Verāval,20.9,70.37,81.91,79,70,7.85,IN,1603246239
Mayumba,-3.43,10.66,76.69,88,100,6.08,GA,1603246239
Sirte,31.21,16.59,68.61,59,19,6.13,LY,1603246239
Funadhoo,6.15,73.27,81.97,79,99,12.57,MV,1603246240
Marzuq,14.4,46.47,64.33,28,0,2.51,YE,1603246240
Holzkirchen,47.88,11.7,43.0,29,100,5.82,DE,1603246240
Vostok,46.49,135.88,52.7,44,100,5.82,RU,1603246240
Jumla,29.27,82.18,53.29,40,0,3.47,NP,1603246240
Zhigansk,66.77,123.37,18.03,96,100,0.69,RU,1603245986
Ballina,-28.87,153.57,80.01,56,0,11.41,AU,1603246241
Inhambane,-23.86,35.38,72.28,89,30,8.7,MZ,1603246241
Lüdinghausen,51.77,7.47,55.0,93,100,11.43,DE,1603246241
Témiscaming,46.72,-79.1,37.99,95,40,8.05,CA,1603246241
Bafra,41.57,35.91,57.2,93,75,2.24,TR,1603246242
Atherton,53.52,-2.49,57.99,87,100,1.99,GB,1603246242
Camopi,3.17,-52.32,76.12,83,74,4.56,GF,1603246242
Talnakh,69.49,88.4,5.0,92,63,2.24,RU,1603246005
Namatanai,-3.67,152.43,82.67,74,60,2.53,PG,1603246243
Aykhal,66.0,111.5,3.2,84,90,2.24,RU,1603246243
Harrislee,54.8,9.38,54.0,93,100,6.93,DE,1603246243
Tuatapere,-46.13,167.68,57.0,59,68,11.01,NZ,1603246190
Pangai,-19.8,-174.35,77.0,57,75,13.87,TO,1603246244
Shiogama,38.32,141.03,60.8,59,40,2.24,JP,1603246244
Roald,62.58,6.13,42.8,93,100,13.87,NO,1603246244
Curuçá,-0.73,-47.85,77.77,80,64,6.33,BR,1603246244
Naryan-Mar,67.67,53.09,26.91,98,99,9.55,RU,1603246244
Te Anau,-45.42,167.72,54.68,49,8,6.53,NZ,1603246244
Hanstholm,57.12,8.62,55.99,13,61,13.73,DK,1603246245
São João da Barra,-21.64,-41.05,72.46,86,74,10.04,BR,1603246237
Sibolga,1.74,98.78,85.12,64,47,1.52,ID,1603246245
Drakhtik,40.56,45.24,42.35,93,62,5.12,AM,1603246245
Raduzhny,62.1,77.47,34.99,98,100,3.91,RU,1603246245
Saint-Joseph,-21.37,55.62,69.01,56,8,4.7,RE,1603246246
Qandala,11.47,49.87,84.47,41,47,6.04,SO,1603246246
Faribault,44.3,-93.27,33.8,98,90,5.82,US,1603246246
Minsk,53.9,27.57,37.4,93,75,6.71,BY,1603245990
Malbork,54.04,19.03,46.99,100,100,10.83,PL,1603246189
Dalvik,65.97,-18.53,23.0,92,89,3.36,IS,1603246247
Darnah,32.77,22.64,68.76,70,3,16.55,LY,1603246247
Ixtapa,20.7,-105.2,84.2,83,20,2.24,MX,1603246247
Rodrigues Alves,-7.74,-72.65,73.53,97,100,1.41,BR,1603246247
Capreol,46.71,-80.92,37.99,69,75,8.05,CA,1603246247
Coahuayana Viejo,18.73,-103.68,80.47,84,99,2.64,MX,1603246248
Chimoré,-16.98,-65.13,73.04,94,91,3.53,BO,1603246248
Azare,11.68,10.19,75.58,34,14,1.43,NG,1603246248
Atikokan,48.76,-91.62,29.46,98,100,7.07,CA,1603246248
Nanortalik,60.14,-45.24,35.64,93,100,15.12,GL,1603246248
Raudeberg,61.99,5.14,44.01,93,100,11.41,NO,1603246249
Ambulu,-8.35,113.61,85.95,64,2,5.46,ID,1603246249
Lagoa,39.05,-27.98,62.98,68,28,25.61,PT,1603246249
Boyolangu,-8.12,111.89,83.75,71,73,0.94,ID,1603246249
Sabang,5.89,95.32,83.41,73,30,14.34,ID,1603245971
Uruguaiana,-29.75,-57.09,69.8,73,18,23.04,BR,1603246250
Yerofey Pavlovich,53.97,121.97,29.88,85,99,8.41,RU,1603246250
Amahai,-3.33,128.92,83.68,71,88,4.36,ID,1603246085
Maraã,-1.83,-65.37,77.79,75,68,2.37,BR,1603246250
Yumen,40.28,97.2,54.63,32,0,9.13,CN,1603246251
Port Shepstone,-30.74,30.45,64.58,71,96,9.28,ZA,1603246243
Ōme,35.78,139.24,66.0,67,1,8.05,JP,1603246251
San Rafael,-34.62,-68.33,56.55,51,0,10.07,AR,1603246251
Arlit,18.74,7.39,84.99,13,0,6.44,NE,1603246251
Vestmanna,62.16,-7.17,39.2,77,5,5.82,FO,1603246194
Kenai,60.55,-151.26,44.6,48,1,6.93,US,1603246252
Dickinson,29.46,-95.05,78.01,88,75,10.29,US,1603246252
West Wendover,40.74,-114.07,55.4,32,1,10.29,US,1603246252
Kutum,14.2,24.67,72.5,19,15,10.47,SD,1603246252
Oodweyne,9.41,45.06,68.9,27,0,2.35,SO,1603246253
Dandong,40.13,124.39,61.86,63,100,17.02,CN,1603246253
Hukuntsi,-24.0,21.75,68.32,24,0,12.39,BW,1603246253
Point Pedro,9.82,80.23,82.89,78,96,17.11,LK,1603246148
Apodi,-5.66,-37.8,76.68,62,2,11.03,BR,1603246253
Nordhausen,51.52,10.8,52.0,10,100,3.2,DE,1603246254
Maceió,-9.67,-35.74,71.6,88,2,3.36,BR,1603246254
Nishihara,26.18,127.76,84.2,65,75,16.11,JP,1603246254
Daulatpur,26.5,67.97,66.2,77,0,4.7,PK,1603246254
Alliance,40.92,-81.11,53.01,97,100,1.01,US,1603246105
Beloha,-25.17,45.05,63.37,71,0,4.36,MG,1603246254
Mitchell,43.71,-98.03,44.6,81,90,9.17,US,1603246021
Darhan,49.49,105.92,29.97,77,100,1.57,MN,1603246255
Antalaha,-14.9,50.28,72.09,84,100,11.3,MG,1603246011
Merano,46.67,11.16,48.99,80,96,1.16,IT,1603246255
Yangi Marg`ilon,40.43,71.72,50.0,36,0,9.17,UZ,1603246255
Jiazi,22.88,116.07,74.8,67,3,13.71,CN,1603246256
Pangnirtung,66.15,-65.71,24.57,94,100,3.53,CA,1603246256
Eyl,7.98,49.82,78.85,80,0,8.08,SO,1603246007
Skjervøy,70.03,20.97,36.28,80,53,16.31,NO,1603246166
Lerik,38.77,48.41,62.6,100,90,5.82,AZ,1603246256
Chitral,35.85,71.79,57.15,33,0,4.88,PK,1603246257
Vestmannaeyjar,63.44,-20.27,37.99,72,100,6.76,IS,1603246257
Wenling,28.37,121.36,69.01,85,100,1.01,CN,1603246257
Port Macquarie,-31.43,152.92,78.01,47,2,1.99,AU,1603245997
Ipixuna,-1.76,-48.8,77.0,94,75,3.36,BR,1603246257
Carutapera,-1.2,-46.02,76.53,87,83,5.64,BR,1603246258
Port Augusta,-32.5,137.77,82.0,49,0,8.05,AU,1603246258
Nizhniy Kislyay,50.85,40.17,35.51,88,0,9.48,RU,1603246258
Madang,-5.22,145.8,86.86,58,11,5.97,PG,1603246258
Bengkulu,-3.8,102.27,84.15,64,35,1.97,ID,1603246258
Ontario,34.06,-117.65,75.99,60,1,9.17,US,1603246259
Vardø,70.37,31.11,38.26,75,77,3.8,NO,1603245969
Jamame,0.07,42.75,77.23,84,11,8.19,SO,1603246259
Armstrong,-32.78,-61.6,55.0,74,100,5.01,AR,1603246259
Wajir,1.75,40.06,76.24,73,19,13.73,KE,1603246259
Turki,51.99,43.27,34.68,90,48,10.02,RU,1603246260
Yavoriv,49.94,23.38,37.4,86,94,4.47,UA,1603246260
Bud,39.45,-86.18,54.0,100,90,9.17,US,1603246260
Bāfq,31.61,55.41,48.15,48,0,1.39,IR,1603246260
Anito,12.45,125.29,87.4,67,99,7.02,PH,1603246261
Uttaradit,17.67,100.5,73.4,94,40,2.24,TH,1603246261
Redmond,47.67,-122.12,53.01,92,90,3.09,US,1603246103
Puerto Escondido,15.85,-97.07,78.8,74,75,5.82,MX,1603246261
Mutare,-18.97,32.67,62.92,92,11,4.29,ZW,1603246262
Kushnarenkovo,55.1,55.35,33.8,86,90,6.71,RU,1603246262
Pemba,-12.97,40.52,73.4,94,20,5.82,MZ,1603246262
Mumford,5.26,-0.76,76.78,90,89,10.16,GH,1603246262
Zhelyabovka,45.4,34.76,46.44,64,0,2.77,UA,1603246262
Aswān,24.09,32.91,76.78,26,0,4.88,EG,1603246263
Aketi,2.74,23.78,71.35,98,100,2.48,CD,1603246263
Knysna,-34.04,23.05,48.2,93,0,2.24,ZA,1603246263
Requena,39.49,-1.1,57.99,84,100,2.1,ES,1603246263
Khorixas,-20.37,14.97,56.88,37,0,2.59,NA,1603246264
Usinsk,65.99,57.53,23.76,98,100,5.01,RU,1603246240
